_city,_state,_lat,_lon,_school_content,_type_value,_accreditation_content,_county,_street_address
Chicago,Illinois,41.897001,-87.627097,Loyola University Chicago School of Law,Private,Full ABA,Cook County,"25 E Pearson St, Chicago, IL 60611"
Dekalb,Illinois,41.929474,-88.750365,Northern Illinois University College of Law,Public,Full ABA,DeKalb County,
Springfield,Massachusetts,42.112412,-72.546714,Western New England University School of Law,Private,Full ABA,Hampden County,
Ann Arbor,Michigan,42.268157,-83.731229,University of Michigan Law School,Public,Full ABA,Washtenaw County,
Detroit,Michigan,42.330417,-83.038858,University of Detroit Mercy School of Law,Private,Full ABA,Wayne County,"651 E Jefferson Ave, Detroit, MI 48226"
Newton,Massachusetts,42.337041,-71.209221,Boston College Law School,Private,Full ABA,Middlesex County,
Boston,Massachusetts,42.339216,-71.091252,Northeastern University School of Law,Private,Full ABA,Suffolk County,"416 Huntington Ave, Boston, MA 02115"
Boston,Massachusetts,42.350471,-71.108859,Boston University School of Law,Private,Full ABA,Suffolk County,"765 Commonwealth Avenue, Boston, MA 02215"
Boston,Massachusetts,42.351008,-71.06618,New England School of Law,Private,Full ABA,Suffolk County,"154 Stuart St, Boston, MA 02116"
Boston,Massachusetts,42.356701,-71.061058,Suffolk University Law School,Private,Full ABA,Suffolk County,"120 Tremont St, Boston, MA 02108"
Detroit,Michigan,42.359519,-83.073405,Wayne State University Law School,Public,Full ABA,Wayne County,"471 W Palmer Ave, Detroit, MI 48202"
Cambridge,Massachusetts,42.377274,-71.130574,Harvard Law School,Private,Full ABA,Middlesex County,
Ithaca,New York,42.439604,-76.496802,Cornell Law School,Private,Full ABA,Tompkins County,
